A Coruna Spain L;LECO;N43°18'08";W008°22'38"
Morante;;N39°02'13";W006°41'26"
Morgal;;N43°25'45";W005°49'37"
Muchamiel;;N38°26'20";W000°28'30"
Mudela Santa Cru;;N38°40'00";W003°27'00"
Murcia Alcantari;LERI;N37°57'09";W001°13'52"
Murcia San Javie;LELC;N37°46'30";W000°48'45"
Ocana Toledo Gld;LEOC;N39°56'19";W003°30'07"
Ontur Tobarr Gld;;N38°37'05";W001°31'00"
Ordis Campo Vuel;;N42°14'00";E002°53'12"
Palafolls;;N41°41'18";E002°44'57"
Palauet;;N41°47'54";E001°21'45"
Palencia;;N42°07'28";W004°37'38"
Palma De Mallorc;LEPA;N39°33'06";E002°44'20"
Palma1 Del Rio;;N37°42'09";W005°17'02"
Palma2 Del R;;N37°43'01";W005°12'45"
Pamplona;LEPP;N42°46'12";W001°38'47"
Pardillo Villanu;;N40°34'04";W003°59'28"
Penascosa Ab;;N38°40'51";W002°24'42"
Piedrabuena Jara;;N39°04'00";W004°13'00"
Platerno;;N39°05'27";W003°12'08"
Platero Argamasi;;N39°05'09";W003°12'45"
Pozuelos De Cala;;N38°54'11";W004°10'03"
Reus Tarragona;LERS;N41°08'51";E001°10'02"
Ribadeo Villafra;;N43°33'09";W007°05'16"
Robledillo Moher;;N40°51'55";W003°14'52"
Robledo Ad;;N39°13'35";W004°18'42"
Rota;LERT;N36°38'43";W006°20'59"
Rozas Lugo;LERO;N43°07'01";W007°28'13"
Ruidera;;N39°02'06";W002°54'50"
Sabadell Barcel;LELL;N41°31'15";E002°06'18"
Saetilla Co;;N37°38'42";W005°16'15"
Salamanca;LESA;N40°57'07";W005°30'07"
San Enrique;;N38°43'51";W004°18'47"
San Sebastian;LESO;N43°21'23";W001°47'26"
Sanchidrian Aero;;N40°54'02";W002°36'34"
Sanchidrianwest;;N40°54'20";W004°36'34"
Sanguesao Eropor;;N42°33'56";W001°17'05"
Santa Cilia Jaca;LECI;N42°34'11";W000°43'40"
Santander;LEXJ;N43°25'37";W003°49'12"
Santervases Cerr;;N42°31'17";W004°51'24"
Santiago;LEST;N42°53'47";W008°24'55"
Santo Tome Gld;LETP;N41°12'15";W003°35'41"
Seo De Urgel;LESU;N42°20'19";E001°24'33"
Sevilla;LEZL;N37°25'04";W005°53'56"
Sevilla Moron Ab;LEMO;N37°10'30";W005°36'58"
Sierra Deriofrio;;N39°05'12";W004°28'46"
Somossierrao Gld;;N41°08'47";W003°35'38"
Sonseca Aerodrom;;N39°41'42";W003°55'48"
Tabernas Prv;;N37°05'00";W002°21'00"
Tablada;;N37°21'12";W006°00'36"
Tardienta Monegr;;N41°57'38";W000°32'27"
Tecina;;N28°02'00";W017°15'00"
Tenerife South;GCTS;N28°02'40";W016°34'21"
Ternerife Teneri;GCXO;N28°28'57";W016°20'29"
Tietar Aero;;N40°14'38";W004°47'40"
Torozos;;N41°47'02";W004°51'54"
Torremoch Aerodr;;N40°36'16";W001°15'59"
Trigueros;;N37°20'24";W006°50'46"
Valdear;;N39°29'39";W004°40'04"
Valdepenas;;N38°44'52";W003°30'36"
Valdeperdices Ba;;N39°24'06";W005°02'24"
Valencia;LEVC;N39°29'22";W000°28'54"
Valladolid;LEVD;N41°42'22";W004°51'07"
Vigo;LEVX;N42°13'45";W008°37'39"
Villacastin Aero;;N40°46'18";W004°26'44"
Villalobillos Co;;N37°53'00";W004°58'00"
Villamartin Gld;;N36°50'16";W005°38'16"
Villqanova Galle;;N41°47'12";W000°50'44"
Viso Marques;;N38°29'56";W003°26'05"
Vitoria Foronda;LEVT;N42°52'58";W002°43'28"
Zaragoza;LEZG;N41°39'58";W001°02'29"
