Cahors Lalbe Gld;LFCC;N44°21'02";E001°28'43"
Calais Dunkerque;LFAC;N50°57'39";E001°57'05"
Calvi;LFKC;N42°31'13";E008°47'35"
Calviac Pvt;;N44°56'05";E002°04'00"
Cambrai Epinoy;LFQI;N50°13'09";E003°09'08"
Cambrai Nier Gld;LFYG;N50°08'33";E003°15'54"
Campagne D Armag;;N43°51'49";W000°00'06"
Cannes Mandelieu;LFMD;N43°32'47";E006°57'15"
Carcassonne Sal;LFMK;N43°12'57";E002°18'31"
Carpentras Gld;LFNH;N44°01'24";E005°05'25"
Cassagnes Begonh;LFIG;N44°10'46";E002°31'05"
Casteljaloux;;N44°18'51";E000°05'15"
Castelnau Gld;LFDQ;N43°16'46";E000°31'16"
Castelnaudary;LFMW;N43°18'44";E001°55'13"
Castelsarras Gld;LFCX;N44°05'13";E001°07'40"
Castilloncs Aero;;N44°41'49";E000°38'46"
Castres Mazamet;LFCK;N43°33'18";E002°17'26"
Caudecoste Caude;;N44°06'16";E000°43'38"
Caylus Aero Prv;;N44°13'27";E001°43'53"
Cazaux;LFBC;N44°32'05";W001°07'53"
Cazcres Aero;;N43°45'37";W000°18'57"
Cazeresepalaminy;LFJH;N43°12'08";E001°03'01"
Cereste Stma036;;N43°51'07";E005°32'11"
Chailley;;N48°02'42";E003°42'48"
Chailley Prv;;N48°05'10";E003°42'20"
Chalais Gld;LFIH;N45°16'05";E000°00'58"
Chalons Champfor;LFLH;N46°49'42";E004°49'01"
Chalons Ecur Gld;LFQK;N48°54'20";E004°21'10"
Chalons Vatry;LFOK;N48°46'24";E004°12'22"
Cham Du Gui;;N46°43'00";E003°15'54"
Chambery Aix;LFLB;N45°38'21";E005°52'48"
Chambery Cha Gld;LFLE;N45°33'38";E005°58'33"
Champagnole1;LFGX;N46°45'52";E005°49'15"
Charleville Mezi;LFQV;N49°47'06";E004°38'34"
Chartres Gld;LFOR;N48°27'32";E001°31'23"
Chateau Thierry;LFFH;N49°04'02";E003°21'23"
Chateaubriand Po;LFTQ;N47°44'25";W001°11'20"
Chateaudun;LFOC;N48°03'28";E001°22'46"
Chateauneuf S Ch;LFFU;N46°52'16";E002°22'35"
Chateauroux Deol;LFLX;N46°51'37";E001°43'16"
Chateaurouxvill;LFEJ;N46°50'31";E001°37'13"
Chatellerault;LFCA;N46°46'53";E000°33'04"
Chatillon S Sein;LFQH;N47°50'47";E004°34'48"
Chaumont;LFSY;N48°04'37";E005°09'05"
Chaumont Semouti;LFJA;N48°05'30";E005°02'58"
