Bonn Hangelar;EDKB;N50°46'07'';E007°09'50''
Bopfingen;EDNQ;N48°50'54'';E010°20'02''
Bordelum;EDWA;N54°37'37'';E008°55'49''
Borghorst Füchte;;N52°09'03'';E007°27'11''
Borken Hoxfeld;EDLY;N51°51'12'';E006°48'53''
Borkenberge;EDLB;N51°46'43'';E007°17'07''
Borkum;EDWR;N53°35'44'';E006°42'33''
Bottenhorn;EDGT;N50°47'40'';E008°27'48''
Brandenburg;;N52°26'11'';E012°35'15''
Brannenburg;;N47°44'30'';E012°06'54''
Brauna;;N51°17'01'';E014°03'42''
Braunfels;;N50°31'16'';E008°23'27''
Braunschweig;EDVE;N52°19'09'';E010°33'22''
Breggen;ETUR;N51°11'57'';E006°07'57''
Breitscheid;EDGB;N50°40'46'';E008°10'22''
Bremen;EDDW;N53°02'51'';E008°47'12''
Bremerhaven;EDWB;N53°30'19'';E008°34'29''
Bremgarten;EDTG;N47°54'12'';E007°37'04''
Briest;;N52°25'56'';E012°27'15''
Brilon;EDKO;N51°24'09'';E008°38'31''
Brockzetel;;N53°28'54'';E007°39'25''
Bronkow;EDBQ;N51°40'12'';E013°57'36''
Bruchsal;EDTC;N49°08'06'';E008°33'49''
Büchel;ETSB;N50°10'25'';E007°03'49''
Büchig;;N50°26'55'';E010°15'10''
Bückeburg;ETHB;N52°16'40'';E009°04'56''
Bückeburg Weinberg;;N52°15'08'';E009°01'08''
Bundenthal Rumbach;;N49°05'39'';E007°47'34''
Büren Schwalenberg;;N51°32'35'';E008°34'54''
Burg;EDBG;N52°14'30'';E011°51'22''
Burg Feuerstein;EDQE;N49°47'38'';E011°07'59''
Burgberg Witznhau;;N51°21'03'';E009°49'32''
Burgheim Schwaben;;N48°41'27'';E011°01'56''
Butzbach Pfingstw;;N50°26'17'';E008°37'30''
Butzweilerhof;ETBB;N50°59'15'';E006°53'34''
Celle Arloh;EDVC;N52°41'22'';E010°06'29''
Celle  Wietze;ETHC;N52°35'26'';E010°01'20''
Cham Janahof;;N49°12'36'';E012°39'25''
Chemnitz Jahnsdo;EDCJ;N50°44'56'';E012°50'09''
Coburg Brandstein;EDQC;N50°15'48'';E010°59'42''
Coburg Steinrücken;EDQY;N50°13'48'';E010°59'45''
Cochstedt;EDBC;N51°51'18'';E011°25'07''
Coleman;ETOR;N49°33'48'';E008°27'48''
Cottbus;ETHT;N51°46'03'';E014°17'28''
Cottbus Drewitz;EDCD;N51°53'22'';E014°31'54''
Dachau Gröbenried;EDMD;N48°13'43'';E011°25'23''
Dachau Rothschwarz;;N48°14'37'';E011°27'52''
Dahlemer Binz;EDKV;N50°24'20'';E006°31'44''
Damgarten Geschlo;;N54°15'56'';E012°26'55''
Damme;EDWC;N52°29'15'';E008°11'10''
Dankern;;N52°48'12'';E007°09'36''
Daun Senheld;;N50°10'41'';E006°51'50''
Deckenpfronn Egls;;N48°38'14'';E008°49'04''
Dedelow;EDBD;N53°21'22'';E013°47'01''
Deggendorf;EDMW;N48°49'48'';E012°52'47''
Degmann;;N49°15'31'';E009°16'38''
Dehausen Diemelst;;N51°27'48'';E009°02'56''
Demmin;;N53°55'24'';E013°13'01''
Der Dingel Hümme;;N51°32'14'';E009°22'56''
Der Ring Schwalms;;N50°53'29'';E009°14'56''
Dessau;EDAD;N51°49'55'';E012°11'24''
Detmold Twr;ETUD;N51°56'21'';E008°54'30''
Diepholz;ETND;N52°35'05'';E008°20'27''
Dierdorf Wienau;EDRW;N50°33'59'';E007°39'14''
Dillingen;;N49°23'12'';E006°44'55''
Dingolfing;EDPD;N48°39'30'';E012°29'48''
Dinkelsbühl;EDND;N49°03'54'';E010°24'03''
Dinslaken;EDLD;N51°36'58'';E006°51'47''
Dobenreuth;;N49°41'23'';E011°08'50''
Dolmar;;N50°36'44'';E010°28'23''
Donaueschingen;EDTD;N47°58'25'';E008°31'20''
Donaustauf;;N49°01'32'';E012°13'35''
Donauwiesen;;N48°54'32'';E011°53'33''
Donauwörth;EDMQ;N48°42'10'';E010°51'03''
Donzdorf;EDPM;N48°40'41'';E009°50'37''
Dornberg Sontra;;N51°05'17'';E009°55'05''
Dornsode;;N53°34'37'';E009°02'22''
Dorsten Kanal;;N51°39'41'';E006°59'06''
Dortmund Wickede;EDLW;N51°31'06'';E007°36'44''
Dresden;EDDC;N51°07'56'';E013°46'01''
Dürabuch;;N48°15'47'';E011°12'36''
Düren Hürtgenwa;;N50°41'37'';E006°25'02''
Düsseld Wolfsaap;;N51°15'54'';E006°51'09''
Düsseldorf;EDDL;N51°16'52'';E006°45'26''
Ebern Sendelbach;EDQR;N50°02'23'';E010°49'22''
Egelsbach;EDFE;N49°57'39'';E008°38'37''
Eggebeck;ETME;N54°37'26'';E009°20'45''
Eggenfelden;EDME;N48°23'46'';E012°43'25''
Eggersdorf Münch;EDCE;N52°28'45'';E014°05'07''
Ehlershausen;;N52°32'09'';E010°01'13''
Eibau;;N50°59'56'';E014°39'54''
Eichstätt;EDPE;N48°52'35'';E011°10'55''
Eisenach Kindel;EDGE;N50°59'25'';E010°28'50''
Eisenhüttenstadt;EDAE;N52°11'40'';E014°35'17''
Eisernhardt;;N50°51'15'';E008°00'47''
Ellwangen;;N48°57'39'';E010°14'12''
Elsenthal;;N48°49'20'';E013°22'04''
Elz;EDFY;N50°25'37'';E008°00'40''
Emden;EDWE;N53°23'28'';E007°13'32''
Emmerich;;N51°49'23'';E006°16'24''
Erbach;EDNE;N48°20'30'';E009°55'00''
Erbendorf Schweis;;N49°50'37'';E012°04'01''
Erding;ETSE;N48°19'20'';E011°56'54''
Erfurt;EDDE;N50°58'48'';E010°57'29''
Erkelenz Kückhoven;;N51°04'00'';E006°21'30''
Erlangen;;N49°35'16'';E011°01'44''
Ernzen;;N49°49'46'';E006°26'17''
Eschenlohe;;N47°37'26'';E011°11'03''
Essen Mülheim;EDLE;N51°24'08'';E006°56'14''
Esslingen Jägerh;;N48°45'41'';E009°20'04''
Essweiler;;N49°33'36'';E007°34'42''
Etting Adelmannsb;;N48°48'40'';E011°24'57''
Eudenbach;;N50°40'20'';E007°21'48''
Eutingen;;N48°29'43'';E008°46'44''
Falkenberg-Lönnewitz;EDUF;N51°32'52'';E013°13'42''
Falkenthal;;N52°53'52'';E013°19'22''
Farrenberg;;N48°23'10'';E009°04'36''
Fassberg;ETHS;N52°55'07'';E010°11'01''
Fehrbellin;EDBF;N52°47'27'';E012°45'55''
Fichtelbrunn;;N49°29'54'';E011°39'33''
Finow;EDAV;N52°49'38'';E013°41'37''
Finsterwalde;EDAS;N51°38'08'';E013°40'37''
Fischbek;;N53°27'26'';E009°49'56''
Flensburg;EDXF;N54°46'24'';E009°22'44''
Flotzheim;;N48°51'23'';E010°48'56''
Frankfurt Main;EDDF;N50°02'00'';E008°34'13''
Frechen;;N50°55'25'';E006°46'22''
Freiburg;EDTF;N48°01'13'';E007°50'01''
Freidberg Ockstad;;N50°19'56'';E008°42'56''
Freising Lange Ha;;N48°21'57'';E011°40'25''
Friedersdorf;EDCF;N52°16'56'';E013°48'20''
Friedrichsfeld;;N53°22'26'';E008°02'47''
Friedrichshafen;EDNY;N47°40'13'';E009°30'42''
Friesener Warte;;N49°50'11'';E011°02'50''
Fritzlar Mil;ETHF;N51°06'51'';E009°17'09''
Fulda Johannisau;;N50°31'56'';E009°40'56''
Fulda Jossa;EDGF;N50°28'32'';E009°26'31''
Fürstenfeldbruck;ETSF;N48°12'20'';E011°16'00''
Fürstenwalde;EDAL;N52°23'23'';E014°05'39''
Fürstenzell;EDMF;N48°30'46'';E013°20'46''
Fürth Seckendorf;;N49°28'56'';E010°51'31''
