Fetlar;;N60°35'58";W000°52'05"
Fife Glenrothes;EGPJ;N56°11'00";W003°13'13"
Flotta;;N58°49'34";W003°08'37"
Fowlmere;EGMA;N52°04'39";E000°03'42"
Full Sutton;EGNU;N53°58'50";W000°51'53"
Gigha;;N55°39'12";W005°45'29"
Glasgow;EGPF;N55°52'19";W004°25'59"
Glenforsa;;N56°31'03";W005°54'52"
Gloucestershire;EGBJ;N51°53'39";W002°10'02"
Gransden Gld;;N52°11'11";W000°06'40"
Great Massingham;;N52°46'30";E000°40'19"
Great Yarmouth;EGSD;N52°38'06";E001°43'24"
Greenham Mid Rwy;;N51°22'44";W001°16'51"
Guernsey;EGJB;N49°26'06";W002°36'07"
Haffotty Gld;;N53°12'25";W003°44'50"
Halesland Gld;;N51°15'36";W002°43'46"
Halton;EGWN;N51°47'33";W000°44'16"
Hatfield Old;;N51°45'55";W000°15'12"
Haverfordwest;EGFE;N51°49'59";W004°57'40"
Hawarden;EGNR;N53°10'41";W002°58'40"
Henlow;EGWE;N52°01'06";W000°18'14"
Henstridge U Kin;EGHS;N50°59'18";W002°21'31"
Hibaldstow;;N53°30'01";W000°31'05"
High Easter;;N51°48'21";E000°20'33"
Hinton Hedge Gld;;N52°01'36";W001°11'58"
Hoy Longhope;;N58°47'19";W003°13'15"
Hucknall;EGNA;N53°00'52";W001°13'06"
Huddersfield;;N53°37'18";W001°49'48"
Hull Burton Cons;;N53°48'27";W000°11'35"
Hullavington Rws;;N51°31'33";W002°08'30"
Humerside;EGNJ;N53°34'28";W000°21'03"
Husbands Gld;;N52°26'27";W001°02'49"
Huton Cra;;N53°56'56";W000°27'55"
Insch;;N57°18'37";W002°38'42"
Inverness;EGPE;N57°32'24";W004°03'00"
Islay;EGPI;N55°40'55";W006°15'24"
Isle Of Man;EGNS;N54°05'00";W004°37'26"
Isle Of Skye;;N57°15'10";W005°49'35"
Isle Of Wight Sa;EGHN;N50°39'11";W001°10'56"
Jersey;EGJJ;N49°12'29";W002°11'44"
Keevil Af Rws;;N51°18'57";W002°06'31"
Kemble;EGBP;N51°40'05";W002°03'25"
Kenley Gld;;N51°18'12";W000°05'43"
Kinloss;EGQK;N57°38'58";W003°33'38"
Kinnell;;N56°39'00";W002°38'05"
Kinross Gld;;N56°11'30";W003°19'05"
Kirkbride;;N54°53'01";W003°12'05"
Kirkwall;EGPA;N58°57'28";W002°54'18"
Kirton Lin Gld;;N53°27'57";W000°34'46"
Lakenheath;EGUL;N52°24'33";E000°33'40"
Lands End St Jus;EGHC;N50°06'10";W005°40'14"
Langar;;N52°53'38";W000°54'25"
Langham Gld;;N52°56'20";E000°57'29"
Lasham Gld;EGHL;N51°11'12";W001°01'55"
Lashenden Headco;EGKH;N51°09'25";E000°38'30"
Leavesden;EGTI;N51°41'22";W000°25'05"
Ledbury Velcourt;;N52°00'02";W002°29'05"
Lee On Solent;EGHF;N50°48'55";W001°12'25"
Lee2on Solent A;EGUS;N50°48'45";W001°12'44"
Leeds Bradford;EGNM;N53°51'57";W001°39'38"
Leeming;EGXE;N54°17'33";W001°32'07"
Leicester;EGBG;N52°36'28";W001°01'55"
Lerwick Tingwall;EGET;N60°11'31";W001°14'37"
Leuchars;EGQL;N56°22'23";W002°52'06"
Linton On Ouse;EGXU;N54°02'56";W001°15'10"
Little Gransden;EGMJ;N52°10'00";W000°09'14"
Little Rissingto;;N51°52'11";W001°41'41"
Little Snoring;;N52°51'40";E000°54'35"
Liverpool;EGGP;N53°20'01";W002°50'59"
Llanbedr;EGOD;N52°48'42";W004°07'25"
Lleweni Parc Gld;;N53°12'41";W003°23'30"
London City;EGLC;N51°30'19";E000°03'19"
London Gatwick;EGKK;N51°08'53";W000°11'25"
London Heathrow;EGLL;N51°28'39";W000°27'41"
London Luton U K;EGGW;N51°52'29";W000°22'06"
London Stanstedl;EGSS;N51°53'06";E000°14'06"
Londonderry;EGAE;N55°02'34";W007°09'40"
Lossiemouth;EGQS;N57°42'19";W003°20'21"
Lydd;EGMD;N50°57'22";E000°56'21"
Lyneham;EGDL;N51°30'18";W001°59'37"
Lyveden Gld;;N52°27'57";W000°35'00"
Manchester Barto;EGCB;N53°28'18";W002°23'23"
Manchester Manch;EGCC;N53°21'13";W002°16'30"
