Roma Urbe;LIRU;N41°57'07";E012°30'04"
Rovigo Aeroport;;N45°02'00";E011°49'40"
Rubbiano Pvt;;N44°40'11";E010°20'33"
Salerno Pontecag;LIRI;N40°37'12";E014°54'45"
Salgareda Carrer;LIDW;N45°42'12";E012°32'11"
San Vincenzo;;N43°03'03";E010°33'04"
Sarzana;LIQW;N44°05'20";E009°59'20"
Sassuolo Aviosup;;N44°34'13";E010°46'55"
Siena Ampugnano;LIQS;N43°15'31";E011°15'17"
Sondrio Caiolo;LILO;N46°09'15";E009°47'53"
Sterzing;;N46°53'13";E011°26'26"
Supersano Macri;;N40°03'29";E018°12'39"
Taranto Grottagl;LIBG;N40°31'03";E017°23'59"
Thiene;LIDH;N45°40'30";E011°29'48"
Toblach Mil;;N46°43'38";E012°13'38"
Todi;;N42°47'58";E012°24'08"
Torino Aerit Gld;LIMA;N45°05'04";E007°36'11"
Torino Caselle;LIMF;N45°12'09";E007°38'58"
Tortoli Arbatax;LIET;N39°55'07";E009°41'00"
Trapani Birgi;LICT;N37°54'44";E012°29'37"
Trento Mattarell;LIDT;N46°01'24";E011°07'30"
Trevisio Istrana;LIPS;N45°41'18";E012°04'54"
Treviso S Angelo;LIPH;N45°39'03";E012°11'52"
Trieste Ronchi D;LIPQ;N45°49'39";E013°28'19"
Udine Campoformi;LIPD;N46°01'56";E013°11'13"
Val Di Chienti;;N43°15'42";E013°33'32"
Valbrembo;LILV;N45°43'12";E009°35'38"
Valle Dei Laghi;;N42°39'50";E012°08'40"
Valle Gaffaro;;N44°50'00";E012°13'56"
Varese Venegono;LILN;N45°44'26";E008°53'13"
Venezia San Nico;LIPV;N45°25'42";E012°23'17"
Venezia Tessera;LIPZ;N45°30'19";E012°21'06"
Vercelli;LILI;N45°18'38";E008°25'04"
Vergiate;LILG;N45°42'45";E008°41'58"
Verona Bosco Gld;LIPN;N45°28'23";E010°55'37"
Verona Villafran;LIPX;N45°23'47";E010°53'17"
Vicenza Tommaso;LIPT;N45°34'18";E011°31'37"
Viterbo Clsd;LIRV;N42°25'49";E012°03'51"
Vizzola Aeropor;;N45°37'50";E008°42'28"
Voghera Rivanazz;LILH;N44°57'35";E009°00'36"
